,E3,E1,T2,T9,T4,T10,S,L,T1,DC4,DC3,CD8_3,DC2,M6,M13,M5,Mo8,M12,M2,M11,CD4_3,Mo3,M3,Mo4,M9,M8,NK2,N4,N5,N2,N3,T6,Mo2,Mo7,M1,M4,Mo6,B2,CD4_2,NKT,NK1,CD8_5,CD8_4,CD45_2,B1,CD4_1,Treg2,CD8_2,CD4_4,CD8_1,CD8_6,N1,Treg1,T3,CD45_1,T5,T12,T7,T11,T8,E2,DC1,M10,Mo1,N7,Mo5,M7,N6
Treg1,0,19,1,0,2,4,0,0,1,0,1,0,0,1,0,0,1,0,4,22,0,1,1,2,0,1,0,0,2,0,0,12,17,0,171,0,0,0,0,2,34,6,1,23,2,28,15,2,7,3,1,8,12,0,8,14,27,9,13,13,6,5,0,295,15,5,58,11
T3,0,5,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,0,0,0,1,0,0,0,0,0,1,0,17,4,0,124,0,1,0,0,0,3,1,0,5,0,2,3,1,0,0,0,0,0,0,1,37,42,3,20,3,0,0,0,74,5,3,10,2
CD45_1,8,136,2,2,17,19,1,47,4,0,5,4,0,7,0,0,4,2,69,124,0,42,80,37,0,40,0,0,13,12,0,54,96,1,910,0,4,0,1,25,270,18,3,62,11,150,48,36,16,15,22,99,8,1,200,84,331,101,113,170,175,16,23,1509,128,14,647,218
T5,3,158,3,1,1025,139,1,103,6,0,9,4,2,15,1,2,2,3,48,669,0,13,34,21,2,10,2,0,4,19,0,442,54,3,2667,0,4,0,2,13,157,27,2,139,12,86,31,15,35,18,16,64,14,37,84,4236,5171,117,1312,171,157,9,24,1336,183,43,381,167
T12,5,535,14,16,1457,697,6,253,19,1,35,11,1,133,1,4,17,5,386,993,1,63,939,207,6,92,6,7,50,70,1,1552,388,18,7572,0,71,0,0,33,528,53,4,239,35,301,100,98,59,28,57,470,27,42,331,5171,19952,543,4565,1864,470,56,165,4078,934,574,4170,1437
T7,6,81,3,1,10,15,0,101,11,0,4,4,0,5,1,0,8,1,82,143,0,16,148,40,0,28,1,0,14,1,0,84,79,3,655,0,2,1,0,11,145,14,2,36,11,76,18,14,18,13,9,41,9,3,101,117,543,204,74,155,253,15,47,651,55,13,625,136
T11,2,102,1,32,707,340,5,7,1,0,10,28,1,161,0,1,2,2,200,475,1,18,25,19,5,21,1,11,11,114,1,1622,76,0,7871,0,4,0,0,19,282,12,4,63,16,130,37,36,21,10,24,249,13,20,113,1312,4565,74,3584,473,58,9,22,1942,1001,132,605,829
T8,1,110,14,6,48,94,0,76,0,0,5,7,0,107,0,4,5,7,166,156,0,31,553,111,1,98,3,9,81,14,2,206,164,5,1604,2,26,0,4,18,349,13,4,70,9,176,58,32,20,14,22,262,13,3,170,171,1864,155,473,1488,106,35,99,1394,321,266,3312,751
E2,21,191,2,1,4,22,0,71,7,2,3,5,0,3,0,0,1,0,93,146,4,31,146,63,1,28,0,0,21,11,0,53,214,3,684,0,1,0,0,17,267,5,1,57,23,149,48,35,16,26,15,152,6,0,175,157,470,253,58,106,1634,13,71,1067,137,12,633,393
DC1,0,14,0,0,0,2,0,173,2,0,1,1,0,0,0,0,2,1,11,20,0,0,49,8,0,4,0,0,3,0,0,4,13,0,57,0,0,0,0,3,23,3,0,8,8,12,5,3,2,1,4,4,5,0,16,9,56,15,9,35,13,24,22,58,7,2,81,21
M10,1,27,0,0,1,7,1,108,1,0,1,0,0,1,0,1,5,0,28,29,0,1,153,45,0,10,1,0,4,1,0,7,31,1,128,0,2,0,0,2,56,2,0,6,4,37,12,3,0,2,3,15,0,0,23,24,165,47,22,99,71,22,36,114,10,5,254,65
Mo1,23,2613,8,34,213,207,17,642,15,5,19,75,1,164,1,0,9,27,501,2385,6,303,271,188,5,286,7,16,71,170,2,1404,1718,17,16350,6,31,0,5,282,3177,320,29,1285,149,1538,519,304,350,108,238,716,295,74,1509,1336,4078,651,1942,1394,1067,58,114,40310,1619,1300,7383,1673
N7,1,106,1,15,101,785,0,1,1,0,2,13,0,52,0,0,1,2,133,130,0,152,22,22,16,30,0,38,121,227,5,612,94,1,3686,1,2,0,0,16,228,5,0,34,10,120,41,25,14,10,16,902,15,5,128,183,934,55,1001,321,137,7,10,1619,3474,14,838,3318
Mo5,0,81,0,0,1,4,0,28,0,0,2,0,0,3,0,0,0,0,10,46,0,2,32,14,0,11,1,1,2,5,0,2,91,0,132,0,8,0,0,6,41,5,0,21,4,14,3,10,3,1,3,15,5,3,14,43,574,13,132,266,12,2,5,1300,14,5122,1144,37
M7,5,614,26,17,43,201,5,469,6,3,14,22,6,180,0,8,23,25,462,597,1,162,1583,304,2,442,4,30,277,47,1,239,783,21,4389,11,108,4,13,81,1105,36,4,215,56,644,250,103,89,36,95,655,58,10,647,381,4170,625,605,3312,633,81,254,7383,838,1144,14522,1714
N6,3,136,7,5,29,1086,5,4,2,0,11,15,0,41,0,6,6,3,267,111,1,175,184,94,14,68,1,43,316,94,29,301,257,2,1885,3,10,3,2,23,398,14,0,52,21,255,68,29,15,29,23,1639,11,2,218,167,1437,136,829,751,393,21,65,1673,3318,37,1714,8680
